time	V(out)	V(n003)
0.000000000000000e+000	-4.841798e-016	0.000000e+000
3.042459311980688e-008	-7.793036e-007	4.779084e-007
6.084918623961377e-008	-4.520048e-006	9.558168e-007
9.127377935942065e-008	-1.122223e-005	1.433725e-006
1.216983724792275e-007	-2.088586e-005	1.911634e-006
1.521229655990344e-007	-3.351093e-005	2.389542e-006
1.825475587188413e-007	-4.909744e-005	2.867450e-006
2.129721518386481e-007	-6.764539e-005	3.345359e-006
2.783207913322654e-007	-1.126684e-004	4.371853e-006
3.648704215693149e-007	-1.797895e-004	5.731371e-006
6.552923212883804e-007	-4.172582e-004	1.029331e-005
8.678182594723208e-005	-6.815340e-002	1.365337e-003
1.729083595731758e-004	-1.357180e-001	2.716956e-003
2.590348931991195e-004	-2.031111e-001	4.065152e-003
3.451614268250632e-004	-2.703326e-001	5.409924e-003
4.312879604510070e-004	-3.373826e-001	6.751272e-003
5.174144940769506e-004	-4.042611e-001	8.089197e-003
6.035410277028941e-004	-4.709680e-001	9.423697e-003
8.965097777028940e-004	-6.945726e-001	1.389690e-002
1.189478527702894e-003	-9.122975e-001	1.825246e-002
1.482447277702895e-003	-1.122300e+000	2.245351e-002
1.775416027702895e-003	-1.322801e+000	2.646449e-002
2.026532099131467e-003	-1.487940e+000	2.976802e-002
2.277648170560039e-003	-1.641642e+000	3.284277e-002
2.528764241988610e-003	-1.783909e+000	3.568875e-002
2.779880313417182e-003	-1.914741e+000	3.830594e-002
3.030996384845754e-003	-2.034137e+000	4.069436e-002
3.282112456274325e-003	-2.142097e+000	4.285399e-002
3.533228527702896e-003	-2.238622e+000	4.478486e-002
3.614119560773633e-003	-2.266344e+000	4.533618e-002
3.695010593844369e-003	-2.292501e+000	4.585742e-002
3.775901626915105e-003	-2.317093e+000	4.634857e-002
3.856792659985841e-003	-2.340120e+000	4.680964e-002
3.937683693056577e-003	-2.361581e+000	4.724063e-002
4.018574726127313e-003	-2.381478e+000	4.764153e-002
