SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,NodeSpeed
0,0,0,10,DSR,7.5,10
1,0,0,10,DSR,7.5,10
2,0,0,10,DSR,7.5,10
3,0,0,10,DSR,7.5,10
4,0,0,10,DSR,7.5,10
5,0,0,10,DSR,7.5,10
6,0,0,10,DSR,7.5,10
7,0,0,10,DSR,7.5,10
8,0,0,10,DSR,7.5,10
9,0,0,10,DSR,7.5,10
10,0,0,10,DSR,7.5,10
11,0,0,10,DSR,7.5,10
12,0,0,10,DSR,7.5,10
13,0,0,10,DSR,7.5,10
14,0,0,10,DSR,7.5,10
15,0,0,10,DSR,7.5,10
16,0,0,10,DSR,7.5,10
17,0,0,10,DSR,7.5,10
18,0,0,10,DSR,7.5,10
19,0,0,10,DSR,7.5,10
20,0,0,10,DSR,7.5,10
21,0,0,10,DSR,7.5,10
22,0,0,10,DSR,7.5,10
23,0,0,10,DSR,7.5,10
24,0,0,10,DSR,7.5,10
25,0,0,10,DSR,7.5,10
26,0,0,10,DSR,7.5,10
27,0,0,10,DSR,7.5,10
28,0,0,10,DSR,7.5,10
29,0,0,10,DSR,7.5,10
30,0,0,10,DSR,7.5,10
31,0,0,10,DSR,7.5,10
32,0,0,10,DSR,7.5,10
33,0,0,10,DSR,7.5,10
34,0,0,10,DSR,7.5,10
35,0,0,10,DSR,7.5,10
36,0,0,10,DSR,7.5,10
37,0,0,10,DSR,7.5,10
38,0,0,10,DSR,7.5,10
39,0,0,10,DSR,7.5,10
40,0,0,10,DSR,7.5,10
41,0,0,10,DSR,7.5,10
42,0,0,10,DSR,7.5,10
43,0,0,10,DSR,7.5,10
44,0,0,10,DSR,7.5,10
45,0,0,10,DSR,7.5,10
46,0,0,10,DSR,7.5,10
47,0,0,10,DSR,7.5,10
48,0,0,10,DSR,7.5,10
49,0,0,10,DSR,7.5,10
50,0,0,10,DSR,7.5,10
51,0,0,10,DSR,7.5,10
52,0,0,10,DSR,7.5,10
53,0,0,10,DSR,7.5,10
54,0,0,10,DSR,7.5,10
55,0,0,10,DSR,7.5,10
56,0,0,10,DSR,7.5,10
57,0,0,10,DSR,7.5,10
58,0,0,10,DSR,7.5,10
59,0,0,10,DSR,7.5,10
60,0,0,10,DSR,7.5,10
61,0,0,10,DSR,7.5,10
62,0,0,10,DSR,7.5,10
63,0,0,10,DSR,7.5,10
64,0,0,10,DSR,7.5,10
65,0,0,10,DSR,7.5,10
66,0,0,10,DSR,7.5,10
67,0,0,10,DSR,7.5,10
68,0,0,10,DSR,7.5,10
69,0,0,10,DSR,7.5,10
70,0,0,10,DSR,7.5,10
71,0,0,10,DSR,7.5,10
72,0,0,10,DSR,7.5,10
73,0,0,10,DSR,7.5,10
74,0,0,10,DSR,7.5,10
75,0,0,10,DSR,7.5,10
76,0,0,10,DSR,7.5,10
77,0,0,10,DSR,7.5,10
78,0,0,10,DSR,7.5,10
79,0,0,10,DSR,7.5,10
80,0,0,10,DSR,7.5,10
81,0,0,10,DSR,7.5,10
82,0,0,10,DSR,7.5,10
83,0,0,10,DSR,7.5,10
84,0,0,10,DSR,7.5,10
85,0,0,10,DSR,7.5,10
86,0,0,10,DSR,7.5,10
87,0,0,10,DSR,7.5,10
88,0,0,10,DSR,7.5,10
89,0,0,10,DSR,7.5,10
90,0,0,10,DSR,7.5,10
91,0,0,10,DSR,7.5,10
92,0,0,10,DSR,7.5,10
93,0,0,10,DSR,7.5,10
94,0,0,10,DSR,7.5,10
95,0,0,10,DSR,7.5,10
96,0,0,10,DSR,7.5,10
97,0,0,10,DSR,7.5,10
98,0,0,10,DSR,7.5,10
99,0,0,10,DSR,7.5,10
100,0,0,10,DSR,7.5,10
101,1.536,3,10,DSR,7.5,10
102,16.384,32,10,DSR,7.5,10
103,25.6,50,10,DSR,7.5,10
104,20.992,41,10,DSR,7.5,10
105,19.968,39,10,DSR,7.5,10
106,18.944,37,10,DSR,7.5,10
107,18.432,36,10,DSR,7.5,10
108,17.92,35,10,DSR,7.5,10
109,19.456,38,10,DSR,7.5,10
110,16.384,32,10,DSR,7.5,10
111,14.848,29,10,DSR,7.5,10
112,14.848,29,10,DSR,7.5,10
113,17.408,34,10,DSR,7.5,10
114,19.456,38,10,DSR,7.5,10
115,20.48,40,10,DSR,7.5,10
116,18.432,36,10,DSR,7.5,10
117,15.872,31,10,DSR,7.5,10
118,14.336,28,10,DSR,7.5,10
119,11.776,23,10,DSR,7.5,10
120,11.776,23,10,DSR,7.5,10
121,12.8,25,10,DSR,7.5,10
122,12.288,24,10,DSR,7.5,10
123,11.776,23,10,DSR,7.5,10
124,6.656,13,10,DSR,7.5,10
125,7.68,15,10,DSR,7.5,10
126,7.168,14,10,DSR,7.5,10
127,7.68,15,10,DSR,7.5,10
128,7.68,15,10,DSR,7.5,10
129,9.728,19,10,DSR,7.5,10
130,7.168,14,10,DSR,7.5,10
131,9.728,19,10,DSR,7.5,10
132,9.728,19,10,DSR,7.5,10
133,8.704,17,10,DSR,7.5,10
134,8.192,16,10,DSR,7.5,10
135,7.68,15,10,DSR,7.5,10
136,4.096,8,10,DSR,7.5,10
137,6.656,13,10,DSR,7.5,10
138,8.192,16,10,DSR,7.5,10
139,8.192,16,10,DSR,7.5,10
140,11.264,22,10,DSR,7.5,10
141,10.24,20,10,DSR,7.5,10
142,9.216,18,10,DSR,7.5,10
143,10.752,21,10,DSR,7.5,10
144,10.24,20,10,DSR,7.5,10
145,11.776,23,10,DSR,7.5,10
146,12.288,24,10,DSR,7.5,10
147,12.288,24,10,DSR,7.5,10
148,11.264,22,10,DSR,7.5,10
149,11.264,22,10,DSR,7.5,10
150,10.24,20,10,DSR,7.5,10
151,12.288,24,10,DSR,7.5,10
152,10.752,21,10,DSR,7.5,10
153,9.216,18,10,DSR,7.5,10
154,10.24,20,10,DSR,7.5,10
155,10.24,20,10,DSR,7.5,10
156,10.24,20,10,DSR,7.5,10
157,10.24,20,10,DSR,7.5,10
158,10.24,20,10,DSR,7.5,10
159,8.192,16,10,DSR,7.5,10
160,8.192,16,10,DSR,7.5,10
161,10.24,20,10,DSR,7.5,10
162,10.752,21,10,DSR,7.5,10
163,8.704,17,10,DSR,7.5,10
164,10.24,20,10,DSR,7.5,10
165,10.24,20,10,DSR,7.5,10
166,8.704,17,10,DSR,7.5,10
167,8.192,16,10,DSR,7.5,10
168,8.704,17,10,DSR,7.5,10
169,8.704,17,10,DSR,7.5,10
170,6.656,13,10,DSR,7.5,10
171,6.656,13,10,DSR,7.5,10
172,5.632,11,10,DSR,7.5,10
173,11.264,22,10,DSR,7.5,10
174,10.24,20,10,DSR,7.5,10
175,10.24,20,10,DSR,7.5,10
176,12.288,24,10,DSR,7.5,10
177,11.776,23,10,DSR,7.5,10
178,10.752,21,10,DSR,7.5,10
179,10.24,20,10,DSR,7.5,10
180,10.24,20,10,DSR,7.5,10
181,9.728,19,10,DSR,7.5,10
182,8.192,16,10,DSR,7.5,10
183,8.704,17,10,DSR,7.5,10
184,11.776,23,10,DSR,7.5,10
185,10.24,20,10,DSR,7.5,10
186,8.704,17,10,DSR,7.5,10
187,8.704,17,10,DSR,7.5,10
188,9.216,18,10,DSR,7.5,10
189,8.192,16,10,DSR,7.5,10
190,11.264,22,10,DSR,7.5,10
191,13.824,27,10,DSR,7.5,10
192,11.264,22,10,DSR,7.5,10
193,12.288,24,10,DSR,7.5,10
194,12.288,24,10,DSR,7.5,10
195,13.312,26,10,DSR,7.5,10
196,11.776,23,10,DSR,7.5,10
197,14.336,28,10,DSR,7.5,10
198,14.336,28,10,DSR,7.5,10
