SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,NodeSpeed
0,0,0,10,DSR,7.5,5
1,0,0,10,DSR,7.5,5
2,0,0,10,DSR,7.5,5
3,0,0,10,DSR,7.5,5
4,0,0,10,DSR,7.5,5
5,0,0,10,DSR,7.5,5
6,0,0,10,DSR,7.5,5
7,0,0,10,DSR,7.5,5
8,0,0,10,DSR,7.5,5
9,0,0,10,DSR,7.5,5
10,0,0,10,DSR,7.5,5
11,0,0,10,DSR,7.5,5
12,0,0,10,DSR,7.5,5
13,0,0,10,DSR,7.5,5
14,0,0,10,DSR,7.5,5
15,0,0,10,DSR,7.5,5
16,0,0,10,DSR,7.5,5
17,0,0,10,DSR,7.5,5
18,0,0,10,DSR,7.5,5
19,0,0,10,DSR,7.5,5
20,0,0,10,DSR,7.5,5
21,0,0,10,DSR,7.5,5
22,0,0,10,DSR,7.5,5
23,0,0,10,DSR,7.5,5
24,0,0,10,DSR,7.5,5
25,0,0,10,DSR,7.5,5
26,0,0,10,DSR,7.5,5
27,0,0,10,DSR,7.5,5
28,0,0,10,DSR,7.5,5
29,0,0,10,DSR,7.5,5
30,0,0,10,DSR,7.5,5
31,0,0,10,DSR,7.5,5
32,0,0,10,DSR,7.5,5
33,0,0,10,DSR,7.5,5
34,0,0,10,DSR,7.5,5
35,0,0,10,DSR,7.5,5
36,0,0,10,DSR,7.5,5
37,0,0,10,DSR,7.5,5
38,0,0,10,DSR,7.5,5
39,0,0,10,DSR,7.5,5
40,0,0,10,DSR,7.5,5
41,0,0,10,DSR,7.5,5
42,0,0,10,DSR,7.5,5
43,0,0,10,DSR,7.5,5
44,0,0,10,DSR,7.5,5
45,0,0,10,DSR,7.5,5
46,0,0,10,DSR,7.5,5
47,0,0,10,DSR,7.5,5
48,0,0,10,DSR,7.5,5
49,0,0,10,DSR,7.5,5
50,0,0,10,DSR,7.5,5
51,0,0,10,DSR,7.5,5
52,0,0,10,DSR,7.5,5
53,0,0,10,DSR,7.5,5
54,0,0,10,DSR,7.5,5
55,0,0,10,DSR,7.5,5
56,0,0,10,DSR,7.5,5
57,0,0,10,DSR,7.5,5
58,0,0,10,DSR,7.5,5
59,0,0,10,DSR,7.5,5
60,0,0,10,DSR,7.5,5
61,0,0,10,DSR,7.5,5
62,0,0,10,DSR,7.5,5
63,0,0,10,DSR,7.5,5
64,0,0,10,DSR,7.5,5
65,0,0,10,DSR,7.5,5
66,0,0,10,DSR,7.5,5
